adduser	3.137ubuntu1
libavdevice60:amd64	7:6.1.1-3ubuntu5
libavfilter-dev:amd64	7:6.1.1-3ubuntu5
libavfilter9:amd64	7:6.1.1-3ubuntu5
libavformat-dev:amd64	7:6.1.1-3ubuntu5
libavformat60:amd64	7:6.1.1-3ubuntu5
libavutil-dev:amd64	7:6.1.1-3ubuntu5
libavutil58:amd64	7:6.1.1-3ubuntu5
libbabeltrace1:amd64	1.5.11-3build3
libbdplus0:amd64	0.2.0-3build1
libbenchmark-dev:amd64	1.8.3-3
libbenchmark1.8.3:amd64	1.8.3-3
libbinutils:amd64	2.42-4ubuntu2.8
libblas-dev:amd64	3.12.0-3build1.1
libblas3:amd64	3.12.0-3build1.1
libblkid-dev:amd64	2.39.3-9ubuntu6.5
libblkid1:amd64	2.39.3-9ubuntu6.5
libblosc-dev:amd64	1.21.5+ds-1build1
libblosc1:amd64	1.21.5+ds-1build1
libbluray2:amd64	1:1.3.4-1build1
libboost-all-dev	1.83.0.1ubuntu2
libboost-atomic-dev:amd64	1.83.0.1ubuntu2
libboost-atomic1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-atomic1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono-dev:amd64	1.83.0.1ubuntu2
libboost-chrono1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64:amd64	1.83.0-2.1ubuntu3.2
libboost-container-dev:amd64	1.83.0.1ubuntu2
libboost-container1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-container1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-context-dev:amd64	1.83.0.1ubuntu2
libboost-context1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-context1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-coroutine-dev:amd64	1.83.0.1ubuntu2
libboost-coroutine1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-coroutine1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time-dev:amd64	1.83.0.1ubuntu2
libboost-date-time1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-dev:amd64	1.83.0.1ubuntu2
libboost-exception-dev:amd64	1.83.0.1ubuntu2
libboost-exception1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-fiber-dev:amd64	1.83.0.1ubuntu2
libboost-fiber1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-fiber1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-filesystem-dev:amd64	1.83.0.1ubuntu2
libboost-filesystem1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-filesystem1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-graph-dev:amd64	1.83.0.1ubuntu2
libboost-graph-parallel-dev	1.83.0.1ubuntu2
libboost-graph-parallel1.83-dev	1.83.0-2.1ubuntu3.2
libboost-graph-parallel1.83.0	1.83.0-2.1ubuntu3.2
libboost-graph1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-graph1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-iostreams-dev:amd64	1.83.0.1ubuntu2
libboost-iostreams1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-iostreams1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-json-dev:amd64	1.83.0.1ubuntu2
libboost-json1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-json1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-locale-dev:amd64	1.83.0.1ubuntu2
libboost-locale1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-locale1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-log-dev	1.83.0.1ubuntu2
libboost-log1.83-dev	1.83.0-2.1ubuntu3.2
libboost-log1.83.0	1.83.0-2.1ubuntu3.2
libboost-math-dev:amd64	1.83.0.1ubuntu2
libboost-math1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-math1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-mpi-dev	1.83.0.1ubuntu2
libboost-mpi-python-dev	1.83.0.1ubuntu2
libboost-mpi-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-mpi1.83-dev	1.83.0-2.1ubuntu3.2
libboost-mpi1.83.0	1.83.0-2.1ubuntu3.2
libboost-nowide-dev	1.83.0.1ubuntu2
libboost-nowide1.83-dev	1.83.0-2.1ubuntu3.2
libboost-nowide1.83.0	1.83.0-2.1ubuntu3.2
libboost-numpy-dev	1.83.0.1ubuntu2
libboost-numpy1.83-dev	1.83.0-2.1ubuntu3.2
libboost-numpy1.83.0	1.83.0-2.1ubuntu3.2
libboost-program-options-dev:amd64	1.83.0.1ubuntu2
libboost-program-options1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-program-options1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-python-dev	1.83.0.1ubuntu2
libboost-python1.83-dev	1.83.0-2.1ubuntu3.2
libboost-python1.83.0	1.83.0-2.1ubuntu3.2
libboost-random-dev:amd64	1.83.0.1ubuntu2
libboost-random1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-random1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-regex-dev:amd64	1.83.0.1ubuntu2
libboost-regex1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-regex1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-serialization-dev:amd64	1.83.0.1ubuntu2
libboost-serialization1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-serialization1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-stacktrace-dev:amd64	1.83.0.1ubuntu2
libboost-stacktrace1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-stacktrace1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-system-dev:amd64	1.83.0.1ubuntu2
libboost-system1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-system1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-test-dev:amd64	1.83.0.1ubuntu2
libboost-test1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-test1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-thread-dev:amd64	1.83.0.1ubuntu2
libboost-thread1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-timer-dev:amd64	1.83.0.1ubuntu2
libboost-timer1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-timer1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-tools-dev	1.83.0.1ubuntu2
libboost-type-erasure-dev:amd64	1.83.0.1ubuntu2
libboost-type-erasure1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-type-erasure1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-url-dev:amd64	1.83.0.1ubuntu2
libboost-url1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-url1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-wave-dev:amd64	1.83.0.1ubuntu2
libboost-wave1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-wave1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost1.83-tools-dev	1.83.0-2.1ubuntu3.2
libbpf1:amd64	1:1.3.0-2build2
libbrotli-dev:amd64	1.1.0-2build2
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd-dev:amd64	0.12.1-1build1.1
libbsd0:amd64	0.12.1-1build1.1
libbullet-dev:amd64	3.24+dfsg-2.1build1
libbullet3.24t64:amd64	3.24+dfsg-2.1build1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libbz2-dev:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.8
libc-dev-bin	2.39-0ubuntu8.8
libc-devtools	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcaf-openmpi-3t64:amd64	2.10.2+ds-2.1build2
libcairo-gobject2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcap-dev:amd64	1:2.66-5ubuntu2.4
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libcap2-bin	1:2.66-5ubuntu2.4
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04.1
libccd-dev:amd64	2.1-2
libccd2:amd64	2.1-2
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcdparanoia0:amd64	3.10.2+debian-14build3
libcdt5:amd64	2.42.2-9ubuntu0.1
libcfitsio-dev:amd64	4.3.1-1.1build2
libcfitsio-doc	4.3.1-1.1build2
libcfitsio10t64:amd64	4.3.1-1.1build2
libcgraph6:amd64	2.42.2-9ubuntu0.1
libcharls2:amd64	2.4.2-2build2
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1
libclang1-15t64	1:15.0.7-14build3
libclang1-18	1:18.1.3-1ubuntu1
libcli11-dev	2.4.1+ds-1
libcoarrays-dev:amd64	2.10.2+ds-2.1build2
libcoarrays-openmpi-dev:amd64	2.10.2+ds-2.1build2
libcodec2-1.2:amd64	1.2.0-2build1
libcolord2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libconsole-bridge-dev:amd64	1.0.1+dfsg2-3build1
libconsole-bridge1.0:amd64	1.0.1+dfsg2-3build1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.1
libctf-nobfd0:amd64	2.42-4ubuntu2.8
libctf0:amd64	2.42-4ubuntu2.8
libcups2t64:amd64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.11
libcurl4-openssl-dev:amd64	8.5.0-2ubuntu10.11
libcurl4t64:amd64	8.5.0-2ubuntu10.11
libcwidget4:amd64	0.5.18-6build1
libdaemon0:amd64	0.14-7.1ubuntu4
libdatrie1:amd64	0.2.13-3build1
libdav1d-dev:amd64	1.4.1-1build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-1-dev:amd64	1.14.10-4ubuntu4.1
libdc1394-25:amd64	2.2.6-4build1
libdc1394-dev:amd64	2.2.6-4build1
libdconf1:amd64	0.40.0-4build2
libde265-0:amd64	1.0.15-1ubuntu0.1
libde265-dev:amd64	1.0.15-1ubuntu0.1
libdebconfclient0:amd64	0.271ubuntu3
libdecor-0-0:amd64	0.2.2-1build2
libdecor-0-dev:amd64	0.2.2-1build2
libdecor-0-plugin-1-gtk:amd64	0.2.2-1build2
libdeflate-dev:amd64	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.1
libdouble-conversion-dev:amd64	3.3.0-1build1
libdouble-conversion3:amd64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.6
libdraco8:amd64	1.5.6+dfsg-3build1
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-dev:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-nouveau2:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdw-dev:amd64	0.190-1.1ubuntu0.1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libeatmydata1:amd64	131-1ubuntu1
libedit2:amd64	3.1-20230828-1build1
libegl-dev:amd64	1.7.0-1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libeigen3-dev	3.4.0-4build0.1
libelf-dev:amd64	0.190-1.1ubuntu0.1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libepoxy0:amd64	1.5.10-1build1
liberror-perl	0.17029-2
libestr0:amd64	0.1.11-1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-core-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-dev	2.1.12-stable-9ubuntu2
libevent-extra-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-openssl-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libevent-pthreads-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libexif-dev:amd64	0.6.24-1ubuntu0.24.04.1
libexif-doc	0.6.24-1ubuntu0.24.04.1
libexif12:amd64	0.6.24-1ubuntu0.24.04.1
libexpat1:amd64	2.6.1-2ubuntu0.4
libexpat1-dev:amd64	2.6.1-2ubuntu0.4
libexpected-dev	1.1.0-2
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfabric1:amd64	1.17.0-3build2
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfcl-dev:amd64	0.7.0-3build2
libfcl0.7:amd64	0.7.0-3build2
libfdisk1:amd64	2.39.3-9ubuntu6.5
libffi-dev:amd64	3.4.6-1build1
libffi8:amd64	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-fcntllock-perl	0.22-4ubuntu5
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflann-dev:amd64	1.9.2+dfsg-2build1
libflann1.9:amd64	1.9.2+dfsg-2build1
libflite1:amd64	2.2-6build3
libfmt-dev:amd64	9.1.0+ds1-2
libfmt9:amd64	9.1.0+ds1-2
libfontconfig-dev:amd64	2.15.0-1.1ubuntu2
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontconfig1-dev:amd64	2.15.0-1.1ubuntu2
libfreeimage-dev:amd64	3.18.0+ds2-10build4
libfreeimage3:amd64	3.18.0+ds2-10build4
libfreetype-dev:amd64	2.13.2+dfsg-1ubuntu0.1
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfreexl-dev:amd64	2.0.0-1build2
libfreexl1:amd64	2.0.0-1build2
libfribidi0:amd64	1.0.13-3build1
libfuse3-3:amd64	3.14.0-5build1
libfyba-dev:amd64	4.1.1-11build1
libfyba0t64:amd64	4.1.1-11build1
libgbm-dev:amd64	25.2.8-0ubuntu0.24.04.2
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2ubuntu0.1
libgd3:amd64	2.3.3-9ubuntu5
libgdal-dev	3.8.4+dfsg-3ubuntu3
libgdal34t64:amd64	3.8.4+dfsg-3ubuntu3
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdcm-dev	3.0.22-2.1ubuntu1
libgdcm3.0t64:amd64	3.0.22-2.1ubuntu1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgeos-c1t64:amd64	3.12.1-3build1
libgeos-dev	3.12.1-3build1
libgeos3.12.1t64:amd64	3.12.1-3build1
libgeotiff-dev:amd64	1.7.1-5build1
libgeotiff5:amd64	1.7.1-5build1
libgflags-dev	2.2.2-2build1
libgflags2.2	2.2.2-2build1
libgfortran-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgif-dev:amd64	5.2.2-1ubuntu1.2
libgif7:amd64	5.2.2-1ubuntu1.2
libgirepository-1.0-1:amd64	1.80.1-1
libgirepository-2.0-0:amd64	2.80.0-6ubuntu3.8
libgl-dev:amd64	1.7.0-1build1
libgl1:amd64	1.7.0-1build1
libgl1-amber-dri:amd64	21.3.9-0ubuntu2
libgl1-mesa-dev:amd64	25.2.8-0ubuntu0.24.04.2
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libgl2ps-dev	1.4.2+dfsg1-2build1
libgl2ps1.4	1.4.2+dfsg1-2build1
libglapi-mesa:amd64	24.0.9-0ubuntu0.3
libgles-dev:amd64	1.7.0-1build1
libgles1:amd64	1.7.0-1build1
libgles2:amd64	1.7.0-1build1
libglew-dev:amd64	2.2.0-4build1
libglew2.2:amd64	2.2.0-4build1
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev:amd64	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglu1-mesa:amd64	9.0.2-1.1build1
libglu1-mesa-dev:amd64	9.0.2-1.1build1
libglut-dev:amd64	3.4.0-1build1
libglut3.12:amd64	3.4.0-1build1
libglvnd-core-dev:amd64	1.7.0-1build1
